station_id,lon,lat,is_charging,external_id,capacity,eightd_has_key_dispenser,electric_bike_surcharge_waiver,has_kiosk,rental_methods,short_name,eightd_station_services
406,-73.5311159491539,45.512800575819625,false,0b145cb7-08f3-11e7-a1cb-3863bb33a4e4,50,false,false,true,KEY|CREDITCARD,6501,1ad5d635-f504-450c-a021-241da29f6f55|LIMITED|Valet station|LIMITED||Valet station|Saturday and Sunday 12h00 - 20h00|ATTENDED_SERVICE
548,-73.57782661914825,45.480495143306044,false,0b15f085-08f3-11e7-a1cb-3863bb33a4e4,25,false,false,true,KEY|CREDITCARD,7034,833f6c68-d83b-4887-bec4-39a1e237da74|LIMITED|Valet station|LIMITED||Valet station|Saturday and Sunday 10h00 - 18h00|ATTENDED_SERVICE
1,-73.55663707494385,45.51016276368593,false,0b0fda98-08f3-11e7-a1cb-3863bb33a4e4,31,false,false,true,KEY|CREDITCARD,6001,|||||||
2,-73.54099988937377,45.539385081961676,false,0b0fdf05-08f3-11e7-a1cb-3863bb33a4e4,19,false,false,true,KEY|CREDITCARD,6002,|||||||
3,-73.5671715438366,45.510823872894264,false,0b0fe114-08f3-11e7-a1cb-3863bb33a4e4,15,false,false,true,KEY|CREDITCARD,6003,|||||||
4,-73.55400860309601,45.50965520472071,false,0b0fe2b5-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6004,|||||||
5,-73.65003436803818,45.52588991809354,false,0b0fe458-08f3-11e7-a1cb-3863bb33a4e4,19,false,false,true,KEY|CREDITCARD,6005,|||||||
6,-73.57680793862527,45.55793479067285,false,0b0fe5d0-08f3-11e7-a1cb-3863bb33a4e4,31,false,false,true,KEY|CREDITCARD,6006,|||||||
7,-73.56213569641113,45.51166045593874,false,0b0fe76d-08f3-11e7-a1cb-3863bb33a4e4,27,false,false,true,KEY|CREDITCARD,6007,|||||||
8,-73.56159485607348,45.51286121664604,false,0b0fe8e4-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6008,|||||||
9,-73.57761539518833,45.49811161443597,false,0b0fea54-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6009,|||||||
10,-73.5312415660519,45.611230741550536,false,0b0febc1-08f3-11e7-a1cb-3863bb33a4e4,15,false,false,true,KEY|CREDITCARD,6901,|||||||
11,-73.55264469981194,45.51411452790017,false,0b0ff3ef-08f3-11e7-a1cb-3863bb33a4e4,27,false,false,true,KEY|CREDITCARD,6011,|||||||
12,-73.56478795420117,45.51111771998604,false,0b0ff5fc-08f3-11e7-a1cb-3863bb33a4e4,49,false,false,true,KEY|CREDITCARD,6012,|||||||
13,-73.56259435415267,45.51340553558378,false,0b0ff798-08f3-11e7-a1cb-3863bb33a4e4,31,false,false,true,KEY|CREDITCARD,6013,|||||||
14,-73.55846643447876,45.51287121578035,false,0b0ff906-08f3-11e7-a1cb-3863bb33a4e4,39,false,false,true,KEY|CREDITCARD,6014,|||||||
15,-73.561273,45.515299,false,0b0ffa68-08f3-11e7-a1cb-3863bb33a4e4,31,false,false,true,KEY|CREDITCARD,6015,|||||||
16,-73.5398056358099,45.47259900304475,false,0b0ffbbc-08f3-11e7-a1cb-3863bb33a4e4,27,false,false,true,KEY|CREDITCARD,6016,|||||||
17,-73.56390595436096,45.52063377251984,false,0b0ffd3a-08f3-11e7-a1cb-3863bb33a4e4,31,false,false,true,KEY|CREDITCARD,6017,|||||||
18,-73.56353,45.51889,false,0b0ffea2-08f3-11e7-a1cb-3863bb33a4e4,19,false,false,true,KEY|CREDITCARD,6018,|||||||
19,-73.56818407773972,45.51799893773692,false,0b100002-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6019,|||||||
20,-73.56549113988876,45.51476724402057,false,0b100167-08f3-11e7-a1cb-3863bb33a4e4,19,false,false,true,KEY|CREDITCARD,6020,|||||||
21,-73.56227517127991,45.521081043206834,false,0b1002d5-08f3-11e7-a1cb-3863bb33a4e4,31,false,false,true,KEY|CREDITCARD,6902,|||||||
22,-73.54983,45.51086,false,0b100442-08f3-11e7-a1cb-3863bb33a4e4,51,false,false,true,KEY|CREDITCARD,6023,|||||||
23,-73.51226069033146,45.59926552299961,false,0b1005a1-08f3-11e7-a1cb-3863bb33a4e4,27,false,false,true,KEY|CREDITCARD,6024,|||||||
24,-73.55511903762817,45.50714391928411,false,0b1006f9-08f3-11e7-a1cb-3863bb33a4e4,15,false,false,true,KEY|CREDITCARD,6025,|||||||
25,-73.55183601379395,45.50761009451047,false,0b100854-08f3-11e7-a1cb-3863bb33a4e4,81,false,false,true,KEY|CREDITCARD,6026,|||||||
26,-73.57346534729004,45.502053864057466,false,0b1009b3-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6027,|||||||
28,-73.58386158943176,45.48084576334506,false,0b100caa-08f3-11e7-a1cb-3863bb33a4e4,19,false,false,true,KEY|CREDITCARD,6029,|||||||
30,-73.55918794870377,45.50459069556304,false,0b100f80-08f3-11e7-a1cb-3863bb33a4e4,15,false,false,true,KEY|CREDITCARD,6031,|||||||
31,-73.55967122894072,45.50631445605528,false,0b1010e4-08f3-11e7-a1cb-3863bb33a4e4,33,false,false,true,KEY|CREDITCARD,6032,|||||||
32,-73.58315885066986,45.55828063767652,false,0b10125a-08f3-11e7-a1cb-3863bb33a4e4,15,false,false,true,KEY|CREDITCARD,6033,|||||||
34,-73.56089115142822,45.50531166520915,false,0b101537-08f3-11e7-a1cb-3863bb33a4e4,38,false,false,true,KEY|CREDITCARD,6035,|||||||
35,-73.553469479084,45.50424245563397,false,0b101691-08f3-11e7-a1cb-3863bb33a4e4,43,false,false,true,KEY|CREDITCARD,6036,|||||||
36,-73.55515256524086,45.501966859101564,false,0b1017ec-08f3-11e7-a1cb-3863bb33a4e4,15,false,false,true,KEY|CREDITCARD,6037,|||||||
37,-73.55615437030792,45.49996470926352,false,0b101966-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6038,|||||||
38,-73.55900555849075,45.5008764952487,false,0b101acc-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6039,|||||||
39,-73.55913430452347,45.50278649802565,false,0b101c22-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6040,|||||||
40,-73.56014415621758,45.50144108135568,false,0b101d77-08f3-11e7-a1cb-3863bb33a4e4,27,false,false,true,KEY|CREDITCARD,6041,|||||||
41,-73.56544822454453,45.50060578095098,false,0b101ed0-08f3-11e7-a1cb-3863bb33a4e4,27,false,false,true,KEY|CREDITCARD,6042,|||||||
42,-73.56295,45.50206,false,0b102046-08f3-11e7-a1cb-3863bb33a4e4,19,false,false,true,KEY|CREDITCARD,6043,|||||||
43,-73.57036739587784,45.521564270906616,false,0b1021af-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6044,|||||||
45,-73.56725603342056,45.49831217703312,false,0b10246c-08f3-11e7-a1cb-3863bb33a4e4,47,false,false,true,KEY|CREDITCARD,6046,|||||||
46,-73.57492983341217,45.508140959417744,false,0b1025c4-08f3-11e7-a1cb-3863bb33a4e4,27,false,false,true,KEY|CREDITCARD,6204,|||||||
47,-73.55725407600403,45.49891911390352,false,0b10272a-08f3-11e7-a1cb-3863bb33a4e4,19,false,false,true,KEY|CREDITCARD,6048,|||||||
48,-73.55534970760345,45.49760527699099,false,0b102b66-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6049,|||||||
49,-73.56024205684662,45.498577791020146,false,0b102c87-08f3-11e7-a1cb-3863bb33a4e4,39,false,false,true,KEY|CREDITCARD,6050,|||||||
50,-73.60308364033699,45.5315079142152,false,0b102d8f-08f3-11e7-a1cb-3863bb33a4e4,19,false,false,true,KEY|CREDITCARD,6051,|||||||
51,-73.55284452438353,45.49750375338383,false,0b102e96-08f3-11e7-a1cb-3863bb33a4e4,88,false,false,true,KEY|CREDITCARD,6052,|||||||
52,-73.56881439685822,45.508204615051355,false,0b102fb4-08f3-11e7-a1cb-3863bb33a4e4,27,false,false,true,KEY|CREDITCARD,6053,|||||||
55,-73.5685783624649,45.498372338329055,false,0b10559b-08f3-11e7-a1cb-3863bb33a4e4,19,false,false,true,KEY|CREDITCARD,6057,|||||||
56,-73.57176750898361,45.49932551028458,false,0b1056fb-08f3-11e7-a1cb-3863bb33a4e4,27,false,false,true,KEY|CREDITCARD,6058,|||||||
57,-73.56942057609558,45.499191207076606,false,0b10581e-08f3-11e7-a1cb-3863bb33a4e4,51,false,false,true,KEY|CREDITCARD,6059,|||||||
58,-73.56313616037369,45.507837541505836,false,0b105944-08f3-11e7-a1cb-3863bb33a4e4,33,false,false,true,KEY|CREDITCARD,6060,|||||||
59,-73.57048273086548,45.50075993786341,false,0b105a5b-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6061,|||||||
60,-73.57422709465027,45.49863930330429,false,0b105b66-08f3-11e7-a1cb-3863bb33a4e4,31,false,false,true,KEY|CREDITCARD,6062,|||||||
61,-73.57591,45.49947,false,0b105c6d-08f3-11e7-a1cb-3863bb33a4e4,51,false,false,true,KEY|CREDITCARD,6063,|||||||
62,-73.57507,45.50038,false,0b105d73-08f3-11e7-a1cb-3863bb33a4e4,57,false,false,true,KEY|CREDITCARD,6064,|||||||
63,-73.57816801275476,45.50039236689204,false,0b105e8d-08f3-11e7-a1cb-3863bb33a4e4,19,false,false,true,KEY|CREDITCARD,6065,|||||||
64,-73.53842496871948,45.51366626207095,false,0b105f95-08f3-11e7-a1cb-3863bb33a4e4,19,false,false,true,KEY|CREDITCARD,6067,|||||||
65,-73.61656039953232,45.562509038048915,false,0b10609d-08f3-11e7-a1cb-3863bb33a4e4,31,false,false,true,KEY|CREDITCARD,6068,|||||||
67,-73.57666924595833,45.506511175399844,false,0b1062ad-08f3-11e7-a1cb-3863bb33a4e4,31,false,false,true,KEY|CREDITCARD,6070,|||||||
68,-73.57069730758667,45.50525474225091,false,0b1063c4-08f3-11e7-a1cb-3863bb33a4e4,29,false,false,true,KEY|CREDITCARD,6073,|||||||
